00Z 01 Jan 2017, 0.00 6.48
12Z 01 Jan 2017, 0.00 6.84
12Z 02 Jan 2017, 22.86 8.76
12Z 07 Jan 2017, 0.00 8.46
15Z 07 Jan 2017, 0.00 6.43
00Z 08 Jan 2017, 0.00 3.52
15Z 08 Jan 2017, 0.04 8.88
00Z 09 Jan 2017, 0.00 6.92
12Z 09 Jan 2017, 90.27 12.74
00Z 10 Jan 2017, 0.00 4.09
12Z 11 Jan 2017, 0.00 6.68
00Z 12 Jan 2017, 0.00 5.98
12Z 12 Jan 2017, 0.00 3.25
00Z 13 Jan 2017, 0.00 5.71
12Z 13 Jan 2017, 129.46 7.97
00Z 14 Jan 2017, 0.00 4.52
12Z 14 Jan 2017, 0.00 5.90
00Z 15 Jan 2017, 0.00 6.93
12Z 15 Jan 2017, 0.00 5.55
00Z 16 Jan 2017, 0.00 10.93
12Z 16 Jan 2017, 0.00 4.69
00Z 17 Jan 2017, 0.00 6.76
12Z 17 Jan 2017, 0.00 7.20
00Z 18 Jan 2017, 0.00 7.30
12Z 18 Jan 2017, 0.00 5.26
00Z 19 Jan 2017, 0.00 6.74
12Z 19 Jan 2017, 550.22 11.96
00Z 20 Jan 2017, 44.08 11.40
12Z 20 Jan 2017, 469.32 15.38
00Z 21 Jan 2017, 0.00 14.48
12Z 21 Jan 2017, 928.09 16.65
00Z 22 Jan 2017, 0.00 9.52
12Z 22 Jan 2017, 556.26 12.63
00Z 23 Jan 2017, 0.00 9.46
12Z 23 Jan 2017, 19.82 10.35
00Z 24 Jan 2017, 0.00 9.18
12Z 24 Jan 2017, 343.60 14.38
00Z 25 Jan 2017, 0.00 13.23
12Z 25 Jan 2017, 107.85 14.19
21Z 25 Jan 2017, 0.00 10.40
15Z 27 Jan 2017, 436.86 10.23
21Z 27 Jan 2017, 0.00 10.42
12Z 28 Jan 2017, 0.00 9.76
21Z 28 Jan 2017, 0.00 4.17
12Z 29 Jan 2017, 0.00 10.30
12Z 30 Jan 2017, 4.16 7.20
00Z 31 Jan 2017, 0.00 6.65
12Z 31 Jan 2017, 97.91 9.17
00Z 01 Feb 2017, 0.00 7.93
12Z 01 Feb 2017, 18.47 13.62
00Z 02 Feb 2017, 0.00 8.98
12Z 02 Feb 2017, 23.93 12.52
00Z 03 Feb 2017, 0.00 9.31
12Z 03 Feb 2017, 23.96 13.09
00Z 04 Feb 2017, 0.00 10.04
12Z 04 Feb 2017, 4.66 12.54
00Z 05 Feb 2017, 0.00 9.12
12Z 05 Feb 2017, 77.91 10.02
00Z 06 Feb 2017, 0.00 8.08
12Z 06 Feb 2017, 279.86 11.38
00Z 07 Feb 2017, 0.00 10.56
12Z 07 Feb 2017, 230.59 13.41
00Z 08 Feb 2017, 0.00 10.11
09Z 08 Feb 2017, 0.00 9.27
00Z 09 Feb 2017, 0.00 8.82
12Z 09 Feb 2017, 0.00 11.14
00Z 10 Feb 2017, 0.00 8.22
09Z 10 Feb 2017, 0.00 8.02
00Z 11 Feb 2017, 0.00 7.93
12Z 11 Feb 2017, 1022.06 13.08
00Z 12 Feb 2017, 0.00 7.02
12Z 12 Feb 2017, 635.84 14.34
00Z 13 Feb 2017, 307.25 17.28
12Z 13 Feb 2017, 413.89 18.69
00Z 14 Feb 2017, 0.00 37.98
12Z 14 Feb 2017, 166.86 27.10
00Z 15 Feb 2017, 119.98 19.44
12Z 15 Feb 2017, 401.00 24.78
12Z 16 Feb 2017, 152.05 23.18
00Z 17 Feb 2017, 355.07 23.44
12Z 17 Feb 2017, 240.00 20.80
12Z 19 Feb 2017, 450.35 22.12
12Z 20 Feb 2017, 242.01 14.89
12Z 21 Feb 2017, 0.00 14.34
12Z 22 Feb 2017, 149.62 15.24
00Z 23 Feb 2017, 0.00 11.71
12Z 26 Feb 2017, 153.81 16.09
12Z 27 Feb 2017, 132.23 11.81
00Z 28 Feb 2017, 0.07 12.27
12Z 28 Feb 2017, 168.00 15.19
00Z 01 Feb 2017, 0.00 7.93
12Z 01 Feb 2017, 18.47 13.62
00Z 02 Feb 2017, 0.00 8.98
12Z 02 Feb 2017, 23.93 12.52
00Z 03 Feb 2017, 0.00 9.31
12Z 03 Feb 2017, 23.96 13.09
00Z 04 Feb 2017, 0.00 10.04
12Z 04 Feb 2017, 4.66 12.54
00Z 05 Feb 2017, 0.00 9.12
12Z 05 Feb 2017, 77.91 10.02
00Z 06 Feb 2017, 0.00 8.08
12Z 06 Feb 2017, 279.86 11.38
00Z 07 Feb 2017, 0.00 10.56
12Z 07 Feb 2017, 230.59 13.41
00Z 08 Feb 2017, 0.00 10.11
09Z 08 Feb 2017, 0.00 9.27
00Z 09 Feb 2017, 0.00 8.82
12Z 09 Feb 2017, 0.00 11.14
00Z 10 Feb 2017, 0.00 8.22
09Z 10 Feb 2017, 0.00 8.02
00Z 11 Feb 2017, 0.00 7.93
12Z 11 Feb 2017, 1022.06 13.08
00Z 12 Feb 2017, 0.00 7.02
12Z 12 Feb 2017, 635.84 14.34
00Z 13 Feb 2017, 307.25 17.28
12Z 13 Feb 2017, 413.89 18.69
00Z 14 Feb 2017, 0.00 37.98
12Z 14 Feb 2017, 166.86 27.10
00Z 15 Feb 2017, 119.98 19.44
12Z 15 Feb 2017, 401.00 24.78
12Z 16 Feb 2017, 152.05 23.18
00Z 17 Feb 2017, 355.07 23.44
12Z 17 Feb 2017, 240.00 20.80
12Z 19 Feb 2017, 450.35 22.12
12Z 20 Feb 2017, 242.01 14.89
12Z 21 Feb 2017, 0.00 14.34
12Z 22 Feb 2017, 149.62 15.24
00Z 23 Feb 2017, 0.00 11.71
12Z 26 Feb 2017, 153.81 16.09
12Z 27 Feb 2017, 132.23 11.81
00Z 28 Feb 2017, 0.07 12.27
12Z 28 Feb 2017, 168.00 15.19
00Z 01 Mar 2017, 0.00 9.83
12Z 01 Mar 2017, 123.94 13.27
00Z 02 Mar 2017, 0.00 10.64
12Z 02 Mar 2017, 79.70 14.66
00Z 03 Mar 2017, 0.00 10.66
09Z 03 Mar 2017, 0.00 11.00
00Z 04 Mar 2017, 0.00 8.02
12Z 04 Mar 2017, 57.23 11.27
00Z 05 Mar 2017, 0.00 8.05
12Z 05 Mar 2017, 278.03 10.79
00Z 06 Mar 2017, 0.00 6.94
00Z 07 Mar 2017, 0.00 9.31
12Z 07 Mar 2017, 27.29 14.69
00Z 08 Mar 2017, 0.00 10.89
12Z 08 Mar 2017, 178.00 16.70
00Z 09 Mar 2017, 0.00 14.13
09Z 09 Mar 2017, 96.92 17.44
00Z 10 Mar 2017, 0.00 14.09
12Z 10 Mar 2017, 340.87 17.65
00Z 11 Mar 2017, 0.00 18.57
09Z 11 Mar 2017, 0.00 16.93
00Z 12 Mar 2017, 0.00 15.22
12Z 12 Mar 2017, 282.03 18.24
00Z 13 Mar 2017, 0.00 17.98
12Z 13 Mar 2017, 649.02 20.24
00Z 14 Mar 2017, 0.00 14.28
12Z 14 Mar 2017, 1256.19 16.58
00Z 15 Mar 2017, 0.00 7.52
12Z 15 Mar 2017, 574.90 14.00
00Z 16 Mar 2017, 0.00 12.17
12Z 16 Mar 2017, 383.53 14.28
00Z 17 Mar 2017, 0.00 14.39
12Z 17 Mar 2017, 0.00 16.13
00Z 18 Mar 2017, 0.00 16.93
12Z 18 Mar 2017, 93.38 15.82
00Z 19 Mar 2017, 110.58 12.31
12Z 19 Mar 2017, 996.16 20.39
00Z 20 Mar 2017, 9.56 12.91
12Z 20 Mar 2017, 774.99 20.82
00Z 21 Mar 2017, 592.32 17.11
12Z 21 Mar 2017, 1265.95 15.68
00Z 22 Mar 2017, 754.23 19.70
12Z 22 Mar 2017, 1321.08 18.87
00Z 23 Mar 2017, 1092.17 15.02
12Z 24 Mar 2017, 919.27 17.37
21Z 24 Mar 2017, 1779.86 16.89
12Z 25 Mar 2017, 1545.13 20.71
00Z 26 Mar 2017, 676.67 13.27
12Z 26 Mar 2017, 636.36 14.98
00Z 27 Mar 2017, 84.66 9.89
12Z 27 Mar 2017, 1375.09 16.47
00Z 28 Mar 2017, 239.28 11.32
12Z 29 Mar 2017, 1392.98 18.27
00Z 30 Mar 2017, 227.94 12.93
12Z 30 Mar 2017, 95.84 9.54
00Z 31 Mar 2017, 42.54 15.01
12Z 31 Mar 2017, 518.44 15.37
00Z 01 Apr 2017, 1.76 16.01
21Z 01 Apr 2017, 0.00 13.33
12Z 02 Apr 2017, 159.75 17.94
21Z 02 Apr 2017, 0.00 16.72
12Z 03 Apr 2017, 604.75 16.40
00Z 04 Apr 2017, 7.74 13.92
12Z 04 Apr 2017, 84.40 14.41
00Z 05 Apr 2017, 0.82 15.07
12Z 05 Apr 2017, 0.00 11.24
00Z 06 Apr 2017, 83.39 15.08
12Z 07 Apr 2017, 466.73 14.57
00Z 08 Apr 2017, 8.27 12.05
12Z 08 Apr 2017, 835.79 14.15
00Z 09 Apr 2017, 0.00 10.13
00Z 10 Apr 2017, 17.33 9.22
12Z 10 Apr 2017, 0.00 7.76
21Z 10 Apr 2017, 243.28 8.09
00Z 11 Apr 2017, 0.00 8.19
09Z 11 Apr 2017, 91.41 9.97
00Z 12 Apr 2017, 2.07 9.67
09Z 12 Apr 2017, 202.98 10.13
09Z 13 Apr 2017, 200.22 8.70
00Z 14 Apr 2017, 4.04 9.40
12Z 14 Apr 2017, 140.75 9.49
00Z 15 Apr 2017, 0.00 9.00
12Z 15 Apr 2017, 610.74 13.47
00Z 16 Apr 2017, 0.00 15.31
12Z 16 Apr 2017, 437.00 17.86
21Z 16 Apr 2017, 0.00 14.12
12Z 17 Apr 2017, 166.70 14.74
00Z 18 Apr 2017, 0.00 13.57
09Z 18 Apr 2017, 213.97 12.65
00Z 19 Apr 2017, 0.00 11.65
12Z 19 Apr 2017, 1165.55 17.66
00Z 20 Apr 2017, 0.00 10.42
12Z 20 Apr 2017, 820.09 14.11
00Z 21 Apr 2017, 0.00 11.62
12Z 21 Apr 2017, 42.97 14.38
00Z 22 Apr 2017, 0.00 10.98
12Z 22 Apr 2017, 0.00 10.28
21Z 22 Apr 2017, 0.00 11.85
00Z 23 Apr 2017, 0.00 23.27
12Z 23 Apr 2017, 0.00 9.85
00Z 24 Apr 2017, 0.00 10.75
12Z 24 Apr 2017, 322.83 14.03
00Z 25 Apr 2017, 0.00 15.77
12Z 25 Apr 2017, 463.86 13.89
00Z 26 Apr 2017, 0.00 17.28
12Z 26 Apr 2017, 84.47 17.10
00Z 27 Apr 2017, 373.55 15.85
12Z 27 Apr 2017, 670.71 19.69
00Z 28 Apr 2017, 235.59 20.52
00Z 29 Apr 2017, 0.00 18.49
09Z 29 Apr 2017, 249.38 20.26
00Z 30 Apr 2017, 96.74 24.02
12Z 30 Apr 2017, 526.08 23.15
00Z 01 May 2017, 0.00 14.13
12Z 01 May 2017, 480.93 16.01
00Z 02 May 2017, 31.65 14.65
21Z 02 May 2017, 19.64 15.35
12Z 03 May 2017, 1583.05 19.68
00Z 04 May 2017, 10.24 13.82
12Z 04 May 2017, 2023.76 20.97
00Z 05 May 2017, 5.30 15.20
12Z 05 May 2017, 2782.27 22.86
00Z 06 May 2017, 100.89 17.54
12Z 06 May 2017, 2379.18 19.70
00Z 07 May 2017, 0.00 16.74
12Z 07 May 2017, 1268.47 24.67
00Z 08 May 2017, 226.63 22.42
12Z 08 May 2017, 1955.01 27.58
00Z 09 May 2017, 29.04 20.42
12Z 09 May 2017, 1560.40 24.74
00Z 10 May 2017, 14.51 21.99
12Z 10 May 2017, 1191.91 23.34
00Z 11 May 2017, 10.41 23.13
12Z 11 May 2017, 235.62 25.71
00Z 12 May 2017, 386.36 23.18
12Z 12 May 2017, 1896.06 26.78
00Z 13 May 2017, 198.48 23.41
12Z 13 May 2017, 1723.55 28.08
00Z 14 May 2017, 0.00 24.04
12Z 14 May 2017, 1386.54 24.66
00Z 15 May 2017, 131.78 25.70
12Z 15 May 2017, 154.05 29.47
00Z 16 May 2017, 50.81 21.85
12Z 16 May 2017, 620.24 22.00
00Z 17 May 2017, 91.83 18.20
12Z 17 May 2017, 378.99 23.43
21Z 17 May 2017, 172.40 24.07
12Z 18 May 2017, 2480.93 27.61
00Z 19 May 2017, 0.00 15.83
12Z 19 May 2017, 496.77 21.33
00Z 20 May 2017, 0.00 15.00
12Z 20 May 2017, 2286.92 22.79
00Z 21 May 2017, 114.93 17.78
12Z 21 May 2017, 4290.04 26.01
00Z 22 May 2017, 151.15 22.96
12Z 22 May 2017, 20.54 19.82
00Z 23 May 2017, 233.81 20.48
12Z 23 May 2017, 40.82 16.84
00Z 24 May 2017, 798.29 24.64
12Z 24 May 2017, 686.85 21.31
00Z 25 May 2017, 17.55 17.30
12Z 25 May 2017, 18.10 16.69
00Z 26 May 2017, 0.00 15.36
00Z 27 May 2017, 0.75 13.44
12Z 27 May 2017, 80.41 14.24
00Z 28 May 2017, 0.00 15.26
12Z 28 May 2017, 100.74 15.24
00Z 29 May 2017, 0.00 10.67
12Z 29 May 2017, 241.73 13.98
00Z 30 May 2017, 0.00 10.77
12Z 30 May 2017, 87.72 16.29
00Z 31 May 2017, 0.00 9.88
12Z 31 May 2017, 0.00 11.21
00Z 01 Jun 2017, 0.00 9.48
12Z 01 Jun 2017, 0.00 10.87
00Z 02 Jun 2017, 370.61 12.87
09Z 02 Jun 2017, 1855.65 21.57
00Z 03 Jun 2017, 475.54 17.43
00Z 04 Jun 2017, 9.87 18.35
12Z 04 Jun 2017, 938.79 22.57
00Z 05 Jun 2017, 0.00 17.68
12Z 05 Jun 2017, 569.98 24.77
00Z 06 Jun 2017, 0.00 13.30
12Z 06 Jun 2017, 0.00 11.02
00Z 07 Jun 2017, 0.00 8.80
12Z 07 Jun 2017, 0.00 7.62
00Z 08 Jun 2017, 0.00 5.77
12Z 08 Jun 2017, 0.00 6.50
00Z 09 Jun 2017, 0.00 10.99
12Z 09 Jun 2017, 0.00 12.56
00Z 10 Jun 2017, 0.00 7.79
12Z 10 Jun 2017, 0.00 7.67
00Z 11 Jun 2017, 0.00 4.86
12Z 11 Jun 2017, 0.00 6.92
00Z 12 Jun 2017, 0.00 7.69
12Z 12 Jun 2017, 260.55 8.41
00Z 13 Jun 2017, 0.00 7.99
09Z 13 Jun 2017,
                             Station number: 41112
00Z 14 Jun 2017, 79.61 11.57
12Z 14 Jun 2017, 483.07 17.80
00Z 15 Jun 2017, 0.96 7.99
12Z 16 Jun 2017, 70.31 11.09
00Z 17 Jun 2017, 0.00 9.51
12Z 17 Jun 2017, 0.00 9.93
00Z 18 Jun 2017, 0.00 8.76
09Z 18 Jun 2017, 424.04 12.93
00Z 19 Jun 2017, 142.56 15.65
12Z 19 Jun 2017, 1140.75 17.84
00Z 20 Jun 2017, 0.00 9.52
12Z 20 Jun 2017, 287.80 20.74
00Z 21 Jun 2017, 0.00 12.68
12Z 21 Jun 2017, 318.82 20.15
00Z 22 Jun 2017, 51.40 13.79
12Z 22 Jun 2017, 32.02 13.17
