01 01 2017, 0.00,6.48
08 01 2017, 0.00,3.52
09 01 2017, 0.00,6.92
10 01 2017, 0.00,4.09
12 01 2017, 0.00,5.98
13 01 2017, 0.00,5.71
14 01 2017, 0.00,4.52
15 01 2017, 0.00,6.93
16 01 2017, 0.00,10.93
17 01 2017, 0.00,6.76
18 01 2017, 0.00,7.30
19 01 2017, 0.00,6.74
20 01 2017, 44.08,11.40
21 01 2017, 0.00,14.48
22 01 2017, 0.00,9.52
23 01 2017, 0.00,9.46
24 01 2017, 0.00,9.18
25 01 2017, 0.00,13.23
31 01 2017, 0.00,6.65
01 02 2017, 0.00,7.93
02 02 2017, 0.00,8.98
03 02 2017, 0.00,9.31
04 02 2017, 0.00,10.04
05 02 2017, 0.00,9.12
06 02 2017, 0.00,8.08
07 02 2017, 0.00,10.56
08 02 2017, 0.00,10.11
09 02 2017, 0.00,8.82
10 02 2017, 0.00,8.22
11 02 2017, 0.00,7.93
12 02 2017, 0.00,7.02
13 02 2017, 307.25,17.28
14 02 2017, 0.00,37.98
15 02 2017, 119.98,19.44
17 02 2017, 355.07,23.44
23 02 2017, 0.00,11.71
28 02 2017, 0.07,12.27
01 02 2017, 0.00,7.93
02 02 2017, 0.00,8.98
03 02 2017, 0.00,9.31
04 02 2017, 0.00,10.04
05 02 2017, 0.00,9.12
06 02 2017, 0.00,8.08
07 02 2017, 0.00,10.56
08 02 2017, 0.00,10.11
09 02 2017, 0.00,8.82
10 02 2017, 0.00,8.22
11 02 2017, 0.00,7.93
12 02 2017, 0.00,7.02
13 02 2017, 307.25,17.28
14 02 2017, 0.00,37.98
15 02 2017, 119.98,19.44
17 02 2017, 355.07,23.44
23 02 2017, 0.00,11.71
28 02 2017, 0.07,12.27
01 03 2017, 0.00,9.83
02 03 2017, 0.00,10.64
03 03 2017, 0.00,10.66
04 03 2017, 0.00,8.02
05 03 2017, 0.00,8.05
06 03 2017, 0.00,6.94
07 03 2017, 0.00,9.31
08 03 2017, 0.00,10.89
09 03 2017, 0.00,14.13
10 03 2017, 0.00,14.09
11 03 2017, 0.00,18.57
12 03 2017, 0.00,15.22
13 03 2017, 0.00,17.98
14 03 2017, 0.00,14.28
15 03 2017, 0.00,7.52
16 03 2017, 0.00,12.17
17 03 2017, 0.00,14.39
18 03 2017, 0.00,16.93
19 03 2017, 110.58,12.31
20 03 2017, 9.56,12.91
21 03 2017, 592.32,17.11
22 03 2017, 754.23,19.70
23 03 2017, 1092.17,15.02
26 03 2017, 676.67,13.27
27 03 2017, 84.66,9.89
28 03 2017, 239.28,11.32
30 03 2017, 227.94,12.93
31 03 2017, 42.54,15.01
01 04 2017, 1.76,16.01
04 04 2017, 7.74,13.92
05 04 2017, 0.82,15.07
06 04 2017, 83.39,15.08
08 04 2017, 8.27,12.05
09 04 2017, 0.00,10.13
10 04 2017, 17.33,9.22
11 04 2017, 0.00,8.19
12 04 2017, 2.07,9.67
14 04 2017, 4.04,9.40
15 04 2017, 0.00,9.00
16 04 2017, 0.00,15.31
18 04 2017, 0.00,13.57
19 04 2017, 0.00,11.65
20 04 2017, 0.00,10.42
21 04 2017, 0.00,11.62
22 04 2017, 0.00,10.98
23 04 2017, 0.00,23.27
24 04 2017, 0.00,10.75
25 04 2017, 0.00,15.77
26 04 2017, 0.00,17.28
27 04 2017, 373.55,15.85
28 04 2017, 235.59,20.52
29 04 2017, 0.00,18.49
30 04 2017, 96.74,24.02
01 05 2017, 0.00,14.13
02 05 2017, 31.65,14.65
04 05 2017, 10.24,13.82
05 05 2017, 5.30,15.20
06 05 2017, 100.89,17.54
07 05 2017, 0.00,16.74
08 05 2017, 226.63,22.42
09 05 2017, 29.04,20.42
10 05 2017, 14.51,21.99
11 05 2017, 10.41,23.13
12 05 2017, 386.36,23.18
13 05 2017, 198.48,23.41
14 05 2017, 0.00,24.04
15 05 2017, 131.78,25.70
16 05 2017, 50.81,21.85
17 05 2017, 91.83,18.20
19 05 2017, 0.00,15.83
20 05 2017, 0.00,15.00
21 05 2017, 114.93,17.78
22 05 2017, 151.15,22.96
23 05 2017, 233.81,20.48
24 05 2017, 798.29,24.64
25 05 2017, 17.55,17.30
26 05 2017, 0.00,15.36
27 05 2017, 0.75,13.44
28 05 2017, 0.00,15.26
29 05 2017, 0.00,10.67
30 05 2017, 0.00,10.77
31 05 2017, 0.00,9.88
01 06 2017, 0.00,9.48
02 06 2017, 370.61,12.87
03 06 2017, 475.54,17.43
04 06 2017, 9.87,18.35
05 06 2017, 0.00,17.68
06 06 2017, 0.00,13.30
07 06 2017, 0.00,8.80
08 06 2017, 0.00,5.77
09 06 2017, 0.00,10.99
10 06 2017, 0.00,7.79
11 06 2017, 0.00,4.86
12 06 2017, 0.00,7.69
13 06 2017, 0.00,7.99
14 06 2017, 79.61,11.57
15 06 2017, 0.96,7.99
17 06 2017, 0.00,9.51
18 06 2017, 0.00,8.76
19 06 2017, 142.56,15.65
20 06 2017, 0.00,9.52
21 06 2017, 0.00,12.68
22 06 2017, 51.40,13.79
23 06 2017, 0.36,12.17
24 06 2017, 54.23,13.87
26 06 2017, 234.16,17.43
27 06 2017, 0.00,8.63
28 06 2017, 113.43,14.05
29 06 2017, 7.00,16.20
30 06 2017, 20.47,10.02
01 07 2017, 0.00,10.63
02 07 2017, 1.03,9.44
03 07 2017, 1.30,11.08
04 07 2017, 4.52,14.58
05 07 2017, 94.19,14.69
06 07 2017, 260.08,16.76
07 07 2017, 3.02,13.55
08 07 2017, 994.33,25.04
09 07 2017, 0.00,14.02
10 07 2017, 17.89,18.91
11 07 2017, 0.00,12.93
12 07 2017, 0.00,14.08
13 07 2017, 61.85,15.76
14 07 2017, 37.65,15.33
15 07 2017, 98.08,17.58
16 07 2017, 22.75,18.49
17 07 2017, 179.26,19.69
18 07 2017, 0.00,13.14
19 07 2017, 392.14,25.35
20 07 2017, 150.87,16.25
21 07 2017, 188.83,18.55
22 07 2017, 191.11,17.51
23 07 2017, 28.84,13.09
24 07 2017, 8.94,16.41
25 07 2017, 123.34,19.85
26 07 2017, 510.35,21.44
27 07 2017, 0.00,13.29
28 07 2017, 26.59,15.71
29 07 2017, 214.14,15.28
30 07 2017, 0.00,11.23
31 07 2017, 364.23,24.81
01 08 2017, 74.40,25.79
02 08 2017, 430.10,21.43
03 08 2017, 268.32,22.03
04 08 2017, 34.62,13.05
05 08 2017, 32.89,17.88
06 08 2017, 18.94,11.90
07 08 2017, 254.12,16.08
08 08 2017, 25.40,13.14
09 08 2017, 0.00,16.88
10 08 2017, 569.57,22.05
11 08 2017, 107.61,15.52
12 08 2017, 842.85,18.37
13 08 2017, 362.24,23.83
14 08 2017, 420.02,23.81
16 08 2017, 325.87,24.59
17 08 2017, 121.37,22.12
18 08 2017, 428.85,19.92
19 08 2017, 73.35,18.22
20 08 2017, 105.44,17.08
21 08 2017, 63.24,17.30
22 08 2017, 3.23,14.97
23 08 2017, 2.54,16.43
24 08 2017, 0.88,16.13
25 08 2017, 0.00,18.88
26 08 2017, 86.59,20.93
27 08 2017, 106.04,24.22
28 08 2017, 65.50,15.73
29 08 2017, 110.57,16.77
30 08 2017, 548.01,18.47
31 08 2017, 0.00,12.33
02 09 2017, 536.48,19.27
03 09 2017, 84.79,21.93
04 09 2017, 0.00,12.08
05 09 2017, 0.00,10.39
06 09 2017, 1.84,11.40
07 09 2017, 23.13,20.29
08 09 2017, 0.00,10.09
09 09 2017, 0.00,12.56
10 09 2017, 0.00,14.87
11 09 2017, 0.00,9.23
12 09 2017, 0.00,12.86
14 09 2017, 0.00,16.62
15 09 2017, 0.00,13.87
16 09 2017, 0.00,10.59
20 09 2017, 147.92,17.61
21 09 2017, 0.00,12.05
22 09 2017, 0.00,11.05
23 09 2017, 0.00,7.92
24 09 2017, 0.00,1.27
29 09 2017, 0.00,5.49
30 09 2017, 0.00,6.59
01 10 2017, 0.00,8.27
02 10 2017, 0.00,6.56
04 10 2017, 0.00,5.77
05 10 2017, 73.25,12.22
06 10 2017, 0.16,14.54
07 10 2017, 0.00,8.89
08 10 2017, 0.00,7.04
09 10 2017, 0.00,6.63
10 10 2017, 0.00,7.52
11 10 2017, 0.00,6.42
12 10 2017, 0.00,5.57
13 10 2017, 0.00,6.51
14 10 2017, 0.00,8.10
16 10 2017, 0.00,4.56
17 10 2017, 0.00,7.07
18 10 2017, 0.00,10.34
19 10 2017, 0.00,7.40
20 10 2017, 0.00,9.52
23 10 2017, 73.51,16.32
24 10 2017, 129.37,18.92
26 10 2017, 0.00,6.07
27 10 2017, 0.00,5.51
28 10 2017, 0.00,5.64
29 10 2017, 0.00,6.78
30 10 2017, 152.66,10.49
31 10 2017, 0.00,7.04
01 11 2017, 0.00,8.66
02 11 2017, 0.00,11.70
03 11 2017, 0.00,11.04
04 11 2017, 0.00,12.74
05 11 2017, 542.53,18.58
06 11 2017, 0.00,9.51
07 11 2017, 0.00,6.51
08 11 2017, 0.00,6.27
09 11 2017, 0.00,7.17
10 11 2017, 0.00,10.59
11 11 2017, 0.00,10.63
12 11 2017, 0.00,11.95
13 11 2017, 0.60,15.63
15 11 2017, 0.00,7.07
16 11 2017, 0.00,3.65
17 11 2017, 0.00,4.89
18 11 2017, 0.00,3.58
19 11 2017, 0.00,5.35
20 11 2017, 0.00,6.66
21 11 2017, 0.00,7.32
22 11 2017, 0.00,8.97
23 11 2017, 0.00,10.37
24 11 2017, 1.78,17.09
25 11 2017, 0.00,16.36
26 11 2017, 43.18,17.21
27 11 2017, 82.46,14.31
28 11 2017, 20.31,15.55
29 11 2017, 0.00,13.78
30 11 2017, 0.00,14.86
01 12 2017, 0.00,15.41
02 12 2017, 58.94,14.49
03 12 2017, 0.00,10.09
04 12 2017, 0.00,10.62
05 12 2017, 0.00,6.58
06 12 2017, 0.00,7.14
07 12 2017, 0.00,8.70
08 12 2017, 0.00,7.51
09 12 2017, 0.00,5.25
10 12 2017, 0.00,4.71
11 12 2017, 0.00,5.01
12 12 2017, 0.00,0.55
13 12 2017, 0.00,2.36
14 12 2017, 0.00,3.83
15 12 2017, 0.00,4.19
16 12 2017, 0.00,6.75
17 12 2017, 0.00,7.21
18 12 2017, 0.00,6.53
19 12 2017, 0.00,3.18
20 12 2017, 0.00,3.79
21 12 2017, 0.00,3.13
22 12 2017, 0.00,3.60
23 12 2017, 0.00,3.36
24 12 2017, 0.00,2.83
25 12 2017, 0.00,2.76
26 12 2017, 0.00,2.98
27 12 2017, 0.00,3.19
29 12 2017, 0.00,4.28
30 12 2017, 0.00,4.51
31 12 2017, 0.00,2.30
